Update log for update_gen1_stats.py
Note: entries list species and abilities replacement performed.

SPECIES_BULBASAUR: abilities changed from '{ABILITY_OVERGROW, ABILITY_NONE, ABILITY_CHLOROPHYLL}' to '{ABILITY_OVERGROW, ABILITY_NONE, ABILITY_CHLOROPHYLL}'
SPECIES_ARBOK: abilities changed from '{ABILITY_INTIMIDATE, ABILITY_SHED_SKIN, ABILITY_UNNERVE}' to '{ABILITY_INTIMIDATE, ABILITY_SHEDSKIN, ABILITY_STRONGJAW}'
SPECIES_PIKACHU: abilities changed from '{ABILITY_STATIC, ABILITY_NONE, ABILITY_LIGHTNING_ROD}' to '{ABILITY_STATIC, ABILITY_NONE, ABILITY_LIGHTNINGROD}'
SPECIES_RAICHU: abilities changed from '{ABILITY_STATIC, ABILITY_NONE, ABILITY_LIGHTNING_ROD}' to '{ABILITY_STATIC, ABILITY_NONE, ABILITY_LIGHTNINGROD}'
SPECIES_SANDSHREW: abilities changed from '{ABILITY_SAND_VEIL, ABILITY_NONE, ABILITY_SAND_RUSH}' to '{ABILITY_SANDVEIL, ABILITY_NONE, ABILITY_SANDRUSH}'
SPECIES_SANDSLASH: abilities changed from '{ABILITY_SAND_VEIL, ABILITY_NONE, ABILITY_SAND_RUSH}' to '{ABILITY_SANDVEIL, ABILITY_NONE, ABILITY_SANDRUSH}'
SPECIES_NIDORAN_F: abilities changed from '{ABILITY_POISON_POINT, ABILITY_RIVALRY, ABILITY_HUSTLE}' to '{ABILITY_POISONTOUCH, ABILITY_RIVALRY, ABILITY_HUSTLE}'
SPECIES_NIDORINA: abilities changed from '{ABILITY_POISON_POINT, ABILITY_RIVALRY, ABILITY_HUSTLE}' to '{ABILITY_POISONTOUCH, ABILITY_RIVALRY, ABILITY_HUSTLE}'
SPECIES_NIDOQUEEN: abilities changed from '{ABILITY_POISON_POINT, ABILITY_RIVALRY, ABILITY_SHEER_FORCE}' to '{ABILITY_POISONTOUCH, ABILITY_RIVALRY, ABILITY_SHEERFORCE}'
SPECIES_NIDORAN_M: abilities changed from '{ABILITY_POISON_POINT, ABILITY_RIVALRY, ABILITY_HUSTLE}' to '{ABILITY_POISONTOUCH, ABILITY_RIVALRY, ABILITY_HUSTLE}'
SPECIES_NIDORINO: abilities changed from '{ABILITY_POISON_POINT, ABILITY_RIVALRY, ABILITY_HUSTLE}' to '{ABILITY_POISONTOUCH, ABILITY_RIVALRY, ABILITY_HUSTLE}'
SPECIES_NIDOKING: abilities changed from '{ABILITY_POISON_POINT, ABILITY_RIVALRY, ABILITY_SHEER_FORCE}' to '{ABILITY_POISONTOUCH, ABILITY_RIVALRY, ABILITY_SHEERFORCE}'
SPECIES_CLEFAIRY: abilities changed from '{ABILITY_CUTE_CHARM, ABILITY_MAGIC_GUARD, ABILITY_FRIEND_GUARD}' to '{ABILITY_CUTECHARM, ABILITY_MAGICGUARD, ABILITY_FRIENDGUARD}'
SPECIES_CLEFABLE: abilities changed from '{ABILITY_CUTE_CHARM, ABILITY_MAGIC_GUARD, ABILITY_UNAWARE}' to '{ABILITY_CUTECHARM, ABILITY_MAGICGUARD, ABILITY_UNAWARE}'
SPECIES_VULPIX: abilities changed from '{ABILITY_FLASH_FIRE, ABILITY_NONE, ABILITY_DROUGHT}' to '{ABILITY_FLASHFIRE, ABILITY_NONE, ABILITY_DROUGHT}'
SPECIES_NINETALES: abilities changed from '{ABILITY_FLASH_FIRE, ABILITY_NONE, ABILITY_DROUGHT}' to '{ABILITY_FLASHFIRE, ABILITY_NONE, ABILITY_DROUGHT}'
SPECIES_JIGGLYPUFF: abilities changed from '{ABILITY_CUTE_CHARM, ABILITY_COMPETITIVE, ABILITY_FRIEND_GUARD}' to '{ABILITY_CUTECHARM, ABILITY_COMPETITIVE, ABILITY_FRIENDGUARD}'
SPECIES_WIGGLYTUFF: abilities changed from '{ABILITY_CUTE_CHARM, ABILITY_COMPETITIVE, ABILITY_FRISK}' to '{ABILITY_SHEERFORCE, ABILITY_COMPETITIVE, ABILITY_FRISK}'
SPECIES_ZUBAT: abilities changed from '{ABILITY_INNER_FOCUS, ABILITY_NONE, ABILITY_INFILTRATOR}' to '{ABILITY_INFILTRATOR, ABILITY_SNIPER, ABILITY_CORROSION}'
SPECIES_GOLBAT: abilities changed from '{ABILITY_INNER_FOCUS, ABILITY_NONE, ABILITY_INFILTRATOR}' to '{ABILITY_INFILTRATOR, ABILITY_SNIPER, ABILITY_CORROSION}'
SPECIES_ODDISH: abilities changed from '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_RUN_AWAY}' to '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_RUNAWAY}'
SPECIES_GLOOM: abilities changed from '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_STENCH}' to '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_STENCH}'
SPECIES_VILEPLUME: abilities changed from '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_EFFECT_SPORE}' to '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_EFFECTSPORE}'
SPECIES_PARAS: abilities changed from '{ABILITY_EFFECT_SPORE, ABILITY_DRY_SKIN, ABILITY_DAMP}' to '{ABILITY_EFFECTSPORE, ABILITY_DRYSKIN, ABILITY_DAMP}'
SPECIES_PARASECT: abilities changed from '{ABILITY_EFFECT_SPORE, ABILITY_DRY_SKIN, ABILITY_DAMP}' to '{ABILITY_EFFECTSPORE, ABILITY_DRYSKIN, ABILITY_DAMP}'
SPECIES_VENONAT: abilities changed from '{ABILITY_COMPOUND_EYES, ABILITY_TINTED_LENS, ABILITY_RUN_AWAY}' to '{ABILITY_COMPOUNDEYES, ABILITY_TINTEDLENS, ABILITY_RUNAWAY}'
SPECIES_VENOMOTH: abilities changed from '{ABILITY_SHIELD_DUST, ABILITY_TINTED_LENS, ABILITY_WONDER_SKIN}' to '{ABILITY_SHIELDDUST, ABILITY_TINTEDLENS, ABILITY_WONDERSKIN}'
SPECIES_DIGLETT: abilities changed from '{ABILITY_SAND_VEIL, ABILITY_ARENA_TRAP, ABILITY_SAND_FORCE}' to '{ABILITY_SANDVEIL, ABILITY_ARENATRAP, ABILITY_SANDFORCE}'
SPECIES_DUGTRIO: abilities changed from '{ABILITY_SAND_VEIL, ABILITY_ARENA_TRAP, ABILITY_SAND_FORCE}' to '{ABILITY_SANDVEIL, ABILITY_ARENATRAP, ABILITY_SANDFORCE}'
SPECIES_MEOWTH: abilities changed from '{ABILITY_PICKUP, ABILITY_TECHNICIAN, ABILITY_UNNERVE}' to '{ABILITY_PICKUP, ABILITY_TECHNICIAN, ABILITY_FELINEPOWER}'
SPECIES_PERSIAN: abilities changed from '{ABILITY_LIMBER, ABILITY_TECHNICIAN, ABILITY_UNNERVE}' to '{ABILITY_LIMBER, ABILITY_TECHNICIAN, ABILITY_FELINEPOWER}'
SPECIES_PSYDUCK: abilities changed from '{ABILITY_DAMP, ABILITY_CLOUD_NINE, ABILITY_SWIFT_SWIM}' to '{ABILITY_DAMP, ABILITY_CLOUDNINE, ABILITY_SWIFTSWIM}'
SPECIES_GOLDUCK: abilities changed from '{ABILITY_DAMP, ABILITY_CLOUD_NINE, ABILITY_SWIFT_SWIM}' to '{ABILITY_SWIFTSWIM, ABILITY_CLOUDNINE, ABILITY_NEUROFORCE}'
SPECIES_MANKEY: abilities changed from '{ABILITY_VITAL_SPIRIT, ABILITY_ANGER_POINT, ABILITY_DEFIANT}' to '{ABILITY_INSOMNIA, ABILITY_ANGERPOINT, ABILITY_DEFIANT}'
SPECIES_PRIMEAPE: abilities changed from '{ABILITY_VITAL_SPIRIT, ABILITY_ANGER_POINT, ABILITY_DEFIANT}' to '{ABILITY_INSOMNIA, ABILITY_ANGERPOINT, ABILITY_DEFIANT}'
SPECIES_GROWLITHE: abilities changed from '{ABILITY_INTIMIDATE, ABILITY_FLASH_FIRE, ABILITY_JUSTIFIED}' to '{ABILITY_INTIMIDATE, ABILITY_FLASHFIRE, ABILITY_JUSTIFIED}'
SPECIES_ARCANINE: abilities changed from '{ABILITY_INTIMIDATE, ABILITY_FLASH_FIRE, ABILITY_JUSTIFIED}' to '{ABILITY_INTIMIDATE, ABILITY_FLASHFIRE, ABILITY_JUSTIFIED}'
SPECIES_POLIWAG: abilities changed from '{ABILITY_WATER_ABSORB, ABILITY_DAMP, ABILITY_SWIFT_SWIM}' to '{ABILITY_WATERABSORB, ABILITY_DAMP, ABILITY_SWIFTSWIM}'
SPECIES_POLIWHIRL: abilities changed from '{ABILITY_WATER_ABSORB, ABILITY_DAMP, ABILITY_SWIFT_SWIM}' to '{ABILITY_WATERABSORB, ABILITY_DAMP, ABILITY_SWIFTSWIM}'
SPECIES_POLIWRATH: abilities changed from '{ABILITY_WATER_ABSORB, ABILITY_DAMP, ABILITY_SWIFT_SWIM}' to '{ABILITY_WATERABSORB, ABILITY_DAMP, ABILITY_SWIFTSWIM}'
SPECIES_ABRA: abilities changed from '{ABILITY_SYNCHRONIZE, ABILITY_INNER_FOCUS, ABILITY_MAGIC_GUARD}' to '{ABILITY_SYNCHRONIZE, ABILITY_INNERFOCUS, ABILITY_MAGICGUARD}'
SPECIES_KADABRA: abilities changed from '{ABILITY_SYNCHRONIZE, ABILITY_INNER_FOCUS, ABILITY_MAGIC_GUARD}' to '{ABILITY_SYNCHRONIZE, ABILITY_INNERFOCUS, ABILITY_MAGICGUARD}'
SPECIES_ALAKAZAM: abilities changed from '{ABILITY_SYNCHRONIZE, ABILITY_INNER_FOCUS, ABILITY_MAGIC_GUARD}' to '{ABILITY_SYNCHRONIZE, ABILITY_INNERFOCUS, ABILITY_MAGICGUARD}'
SPECIES_MACHOP: abilities changed from '{ABILITY_GUTS, ABILITY_NO_GUARD, ABILITY_STEADFAST}' to '{ABILITY_GUTS, ABILITY_NOGUARD, ABILITY_STEADFAST}'
SPECIES_MACHOKE: abilities changed from '{ABILITY_GUTS, ABILITY_NO_GUARD, ABILITY_STEADFAST}' to '{ABILITY_GUTS, ABILITY_NOGUARD, ABILITY_STEADFAST}'
SPECIES_MACHAMP: abilities changed from '{ABILITY_GUTS, ABILITY_NO_GUARD, ABILITY_STEADFAST}' to '{ABILITY_GUTS, ABILITY_NOGUARD, ABILITY_STEADFAST}'
SPECIES_BELLSPROUT: abilities changed from '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_GLUTTONY}' to '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_GLUTTONY}'
SPECIES_WEEPINBELL: abilities changed from '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_GLUTTONY}' to '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_GLUTTONY}'
SPECIES_VICTREEBEL: abilities changed from '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_GLUTTONY}' to '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_GLUTTONY}'
SPECIES_TENTACOOL: abilities changed from '{ABILITY_CLEAR_BODY, ABILITY_LIQUID_OOZE, ABILITY_RAIN_DISH}' to '{ABILITY_CLEARBODY, ABILITY_LIQUIDOOZE, ABILITY_RAINDISH}'
SPECIES_TENTACRUEL: abilities changed from '{ABILITY_CLEAR_BODY, ABILITY_LIQUID_OOZE, ABILITY_RAIN_DISH}' to '{ABILITY_CLEARBODY, ABILITY_LIQUIDOOZE, ABILITY_RAINDISH}'
SPECIES_GEODUDE: abilities changed from '{ABILITY_ROCK_HEAD, ABILITY_STURDY, ABILITY_SAND_VEIL}' to '{ABILITY_ROCKHEAD, ABILITY_STURDY, ABILITY_SANDVEIL}'
SPECIES_GRAVELER: abilities changed from '{ABILITY_ROCK_HEAD, ABILITY_STURDY, ABILITY_SAND_VEIL}' to '{ABILITY_ROCKHEAD, ABILITY_STURDY, ABILITY_SANDVEIL}'
SPECIES_GOLEM: abilities changed from '{ABILITY_ROCK_HEAD, ABILITY_STURDY, ABILITY_SAND_VEIL}' to '{ABILITY_ROCKHEAD, ABILITY_STURDY, ABILITY_SANDVEIL}'
SPECIES_PONYTA: abilities changed from '{ABILITY_RUN_AWAY, ABILITY_FLASH_FIRE, ABILITY_FLAME_BODY}' to '{ABILITY_RUNAWAY, ABILITY_FLASHFIRE, ABILITY_FLAMEBODY}'
SPECIES_RAPIDASH: abilities changed from '{ABILITY_RUN_AWAY, ABILITY_FLASH_FIRE, ABILITY_FLAME_BODY}' to '{ABILITY_RECKLESS, ABILITY_FLASHFIRE, ABILITY_FLAMINGSOUL}'
SPECIES_SLOWPOKE: abilities changed from '{ABILITY_OBLIVIOUS, ABILITY_OWN_TEMPO, ABILITY_REGENERATOR}' to '{ABILITY_OBLIVIOUS, ABILITY_OWNTEMPO, ABILITY_REGENERATOR}'
SPECIES_SLOWBRO: abilities changed from '{ABILITY_OBLIVIOUS, ABILITY_OWN_TEMPO, ABILITY_REGENERATOR}' to '{ABILITY_OBLIVIOUS, ABILITY_OWNTEMPO, ABILITY_REGENERATOR}'
SPECIES_MAGNEMITE: abilities changed from '{ABILITY_MAGNET_PULL, ABILITY_STURDY, ABILITY_ANALYTIC}' to '{ABILITY_MAGNETPULL, ABILITY_STURDY, ABILITY_ANALYTIC}'
SPECIES_MAGNETON: abilities changed from '{ABILITY_MAGNET_PULL, ABILITY_STURDY, ABILITY_ANALYTIC}' to '{ABILITY_MAGNETPULL, ABILITY_STURDY, ABILITY_ANALYTIC}'
SPECIES_FARFETCHD: abilities changed from '{ABILITY_KEEN_EYE, ABILITY_INNER_FOCUS, ABILITY_DEFIANT}' to '{ABILITY_FRISK, ABILITY_INNERFOCUS, ABILITY_SHARPNESS}'
SPECIES_DODUO: abilities changed from '{ABILITY_RUN_AWAY, ABILITY_EARLY_BIRD, ABILITY_TANGLED_FEET}' to '{ABILITY_RUNAWAY, ABILITY_EARLYBIRD, ABILITY_NONE}'
SPECIES_DODRIO: abilities changed from '{ABILITY_RUN_AWAY, ABILITY_EARLY_BIRD, ABILITY_TANGLED_FEET}' to '{ABILITY_ROCKHEAD, ABILITY_EARLYBIRD, ABILITY_NONE}'
SPECIES_SEEL: abilities changed from '{ABILITY_THICK_FAT, ABILITY_HYDRATION, ABILITY_ICE_BODY}' to '{ABILITY_THICKFAT, ABILITY_HYDRATION, ABILITY_ICEBODY}'
SPECIES_DEWGONG: abilities changed from '{ABILITY_THICK_FAT, ABILITY_HYDRATION, ABILITY_ICE_BODY}' to '{ABILITY_THICKFAT, ABILITY_ICESCALES, ABILITY_ICEBODY}'
SPECIES_GRIMER: abilities changed from '{ABILITY_STENCH, ABILITY_STICKY_HOLD, ABILITY_POISON_TOUCH}' to '{ABILITY_STENCH, ABILITY_STICKYHOLD, ABILITY_POISONTOUCH}'
SPECIES_MUK: abilities changed from '{ABILITY_STENCH, ABILITY_STICKY_HOLD, ABILITY_POISON_TOUCH}' to '{ABILITY_REGENERATOR, ABILITY_STICKYHOLD, ABILITY_POISONTOUCH}'
SPECIES_SHELLDER: abilities changed from '{ABILITY_SHELL_ARMOR, ABILITY_SKILL_LINK, ABILITY_OVERCOAT}' to '{ABILITY_BATTLEARMOR, ABILITY_SKILLLINK, ABILITY_OVERCOAT}'
SPECIES_CLOYSTER: abilities changed from '{ABILITY_SHELL_ARMOR, ABILITY_SKILL_LINK, ABILITY_OVERCOAT}' to '{ABILITY_BATTLEARMOR, ABILITY_SKILLLINK, ABILITY_OVERCOAT}'
SPECIES_GASTLY: abilities changed from '{ABILITY_LEVITATE, ABILITY_NONE, ABILITY_NONE}' to '{ABILITY_LEVITATE, ABILITY_NONE, ABILITY_NONE}'
SPECIES_HAUNTER: abilities changed from '{ABILITY_LEVITATE, ABILITY_NONE, ABILITY_NONE}' to '{ABILITY_LEVITATE, ABILITY_NONE, ABILITY_NONE}'
SPECIES_ONIX: abilities changed from '{ABILITY_ROCK_HEAD, ABILITY_STURDY, ABILITY_WEAK_ARMOR}' to '{ABILITY_ROCKHEAD, ABILITY_STURDY, ABILITY_WEAKARMOR}'
SPECIES_DROWZEE: abilities changed from '{ABILITY_INSOMNIA, ABILITY_FOREWARN, ABILITY_INNER_FOCUS}' to '{ABILITY_INSOMNIA, ABILITY_BADDREAMS, ABILITY_PSYCHICSURGE}'
SPECIES_HYPNO: abilities changed from '{ABILITY_INSOMNIA, ABILITY_FOREWARN, ABILITY_INNER_FOCUS}' to '{ABILITY_INSOMNIA, ABILITY_BADDREAMS, ABILITY_PSYCHICSURGE}'
SPECIES_KRABBY: abilities changed from '{ABILITY_HYPER_CUTTER, ABILITY_SHELL_ARMOR, ABILITY_SHEER_FORCE}' to '{ABILITY_HYPERCUTTER, ABILITY_BATTLEARMOR, ABILITY_SHEERFORCE}'
SPECIES_KINGLER: abilities changed from '{ABILITY_HYPER_CUTTER, ABILITY_SHELL_ARMOR, ABILITY_SHEER_FORCE}' to '{ABILITY_HYPERCUTTER, ABILITY_BATTLEARMOR, ABILITY_SHEERFORCE}'
SPECIES_VOLTORB: abilities changed from '{ABILITY_SOUNDPROOF, ABILITY_STATIC, ABILITY_AFTERMATH}' to '{ABILITY_SOUNDPROOF, ABILITY_STATIC, ABILITY_GALVANIZE}'
SPECIES_ELECTRODE: abilities changed from '{ABILITY_SOUNDPROOF, ABILITY_STATIC, ABILITY_AFTERMATH}' to '{ABILITY_SOUNDPROOF, ABILITY_STATIC, ABILITY_GALVANIZE}'
SPECIES_EXEGGCUTE: abilities changed from '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_HARVEST}' to '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_HARVEST}'
SPECIES_EXEGGUTOR: abilities changed from '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_HARVEST}' to '{ABILITY_CHLOROPHYLL, ABILITY_NONE, ABILITY_HARVEST}'
SPECIES_CUBONE: abilities changed from '{ABILITY_ROCK_HEAD, ABILITY_LIGHTNING_ROD, ABILITY_BATTLE_ARMOR}' to '{ABILITY_ROCKHEAD, ABILITY_BATTLEARMOR, ABILITY_BONEZONE}'
SPECIES_MAROWAK: abilities changed from '{ABILITY_ROCK_HEAD, ABILITY_LIGHTNING_ROD, ABILITY_BATTLE_ARMOR}' to '{ABILITY_ROCKHEAD, ABILITY_BATTLEARMOR, ABILITY_BONEZONE}'
SPECIES_HITMONLEE: abilities changed from '{ABILITY_LIMBER, ABILITY_RECKLESS, ABILITY_UNBURDEN}' to '{ABILITY_UNBURDEN, ABILITY_RECKLESS, ABILITY_STRIKER}'
SPECIES_HITMONCHAN: abilities changed from '{ABILITY_KEEN_EYE, ABILITY_IRON_FIST, ABILITY_INNER_FOCUS}' to '{ABILITY_FRISK, ABILITY_IRONFIST, ABILITY_INNERFOCUS}'
SPECIES_LICKITUNG: abilities changed from '{ABILITY_OWN_TEMPO, ABILITY_OBLIVIOUS, ABILITY_CLOUD_NINE}' to '{ABILITY_OWNTEMPO, ABILITY_OBLIVIOUS, ABILITY_CLOUDNINE}'
SPECIES_KOFFING: abilities changed from '{ABILITY_LEVITATE, ABILITY_NEUTRALIZING_GAS, ABILITY_STENCH}' to '{ABILITY_LEVITATE, ABILITY_NEUTRALIZINGGAS, ABILITY_TOXICDEBRIS}'
SPECIES_WEEZING: abilities changed from '{ABILITY_LEVITATE, ABILITY_NEUTRALIZING_GAS, ABILITY_STENCH}' to '{ABILITY_LEVITATE, ABILITY_NEUTRALIZINGGAS, ABILITY_TOXICDEBRIS}'
SPECIES_RHYHORN: abilities changed from '{ABILITY_LIGHTNING_ROD, ABILITY_ROCK_HEAD, ABILITY_RECKLESS}' to '{ABILITY_LIGHTNINGROD, ABILITY_ROCKHEAD, ABILITY_RECKLESS}'
SPECIES_RHYDON: abilities changed from '{ABILITY_LIGHTNING_ROD, ABILITY_ROCK_HEAD, ABILITY_RECKLESS}' to '{ABILITY_LIGHTNINGROD, ABILITY_ROCKHEAD, ABILITY_RECKLESS}'
SPECIES_CHANSEY: abilities changed from '{ABILITY_NATURAL_CURE, ABILITY_SERENE_GRACE, ABILITY_HEALER}' to '{ABILITY_NATURALCURE, ABILITY_SERENEGRACE, ABILITY_NONE}'
SPECIES_TANGELA: abilities changed from '{ABILITY_CHLOROPHYLL, ABILITY_LEAF_GUARD, ABILITY_REGENERATOR}' to '{ABILITY_CHLOROPHYLL, ABILITY_LEAFGUARD, ABILITY_REGENERATOR}'
SPECIES_KANGASKHAN: abilities changed from '{ABILITY_EARLY_BIRD, ABILITY_SCRAPPY, ABILITY_INNER_FOCUS}' to '{ABILITY_EARLYBIRD, ABILITY_SCRAPPY, ABILITY_INNERFOCUS}'
SPECIES_HORSEA: abilities changed from '{ABILITY_SWIFT_SWIM, ABILITY_SNIPER, ABILITY_DAMP}' to '{ABILITY_SWIFTSWIM, ABILITY_SNIPER, ABILITY_DAMP}'
SPECIES_SEADRA: abilities changed from '{ABILITY_POISON_POINT, ABILITY_SNIPER, ABILITY_DAMP}' to '{ABILITY_POISONTOUCH, ABILITY_SNIPER, ABILITY_DAMP}'
SPECIES_GOLDEEN: abilities changed from '{ABILITY_SWIFT_SWIM, ABILITY_WATER_VEIL, ABILITY_LIGHTNING_ROD}' to '{ABILITY_LIGHTNINGROD, ABILITY_WATERVEIL, ABILITY_RAINDISH}'
SPECIES_SEAKING: abilities changed from '{ABILITY_SWIFT_SWIM, ABILITY_WATER_VEIL, ABILITY_LIGHTNING_ROD}' to '{ABILITY_LIGHTNINGROD, ABILITY_WATERVEIL, ABILITY_RAINDISH}'
SPECIES_STARYU: abilities changed from '{ABILITY_ILLUMINATE, ABILITY_NATURAL_CURE, ABILITY_ANALYTIC}' to '{ABILITY_NATURALCURE, ABILITY_ILLUMINATE, ABILITY_ANALYTIC}'
SPECIES_STARMIE: abilities changed from '{ABILITY_ILLUMINATE, ABILITY_NATURAL_CURE, ABILITY_ANALYTIC}' to '{ABILITY_NATURALCURE, ABILITY_ILLUMINATE, ABILITY_ANALYTIC}'
SPECIES_MR_MIME: abilities changed from '{ABILITY_SOUNDPROOF, ABILITY_FILTER, ABILITY_TECHNICIAN}' to '{ABILITY_SOUNDPROOF, ABILITY_SOLIDROCK, ABILITY_MISTYSURGE}'
SPECIES_SCYTHER: abilities changed from '{ABILITY_SWARM, ABILITY_TECHNICIAN, ABILITY_STEADFAST}' to '{ABILITY_SWARM, ABILITY_TECHNICIAN, ABILITY_STEADFAST}'
SPECIES_JYNX: abilities changed from '{ABILITY_OBLIVIOUS, ABILITY_FOREWARN, ABILITY_DRY_SKIN}' to '{ABILITY_DRYSKIN, ABILITY_NONE, ABILITY_DRYSKIN}'
SPECIES_ELECTABUZZ: abilities changed from '{ABILITY_STATIC, ABILITY_NONE, ABILITY_VITAL_SPIRIT}' to '{ABILITY_STATIC, ABILITY_INSOMNIA, ABILITY_IRONFIST}'
